               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.030139,             0.01115,            0.002175,             0.98144,              0.9697,             0.99309,             0.76375,            0.024632,           0.0043416,           0.0011751,           0.0090892,           0.0090892,           0.0090892
                  48,            0.028624,            0.010495,           0.0024536,             0.95355,             0.98453,             0.99266,             0.79774,            0.020613,           0.0041019,           0.0015854,           0.0090694,           0.0090694,           0.0090694
                  49,            0.027855,            0.011553,           0.0028494,             0.98921,              0.9764,             0.99379,             0.75649,            0.024201,            0.004146,          0.00098347,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029758,            0.011385,           0.0021375,             0.98598,             0.98092,             0.99322,             0.77701,            0.022137,           0.0041919,          0.00074325,           0.0090298,           0.0090298,           0.0090298
                  51,            0.028982,             0.01097,           0.0017677,             0.98576,             0.98954,             0.99384,             0.75675,            0.023775,           0.0041477,          0.00066947,             0.00901,             0.00901,             0.00901
                  52,            0.028636,            0.011252,           0.0015607,             0.98231,              0.9697,             0.99217,             0.74837,            0.024435,           0.0042128,          0.00070647,           0.0089902,           0.0089902,           0.0089902
                  53,            0.029597,            0.011768,           0.0022335,             0.95919,              0.9781,             0.98573,             0.74915,            0.022569,           0.0040813,          0.00089058,           0.0089704,           0.0089704,           0.0089704
                  54,            0.028243,            0.010665,           0.0020371,              0.9833,             0.97914,             0.99344,             0.73696,            0.021723,           0.0040108,           0.0010256,           0.0089506,           0.0089506,           0.0089506
                  55,            0.028285,            0.011804,           0.0020183,             0.99138,             0.97851,             0.99441,             0.77209,             0.02238,           0.0041167,           0.0010137,           0.0089308,           0.0089308,           0.0089308
                  56,            0.029145,            0.010402,           0.0014749,             0.99683,             0.98131,             0.99442,             0.72025,            0.023579,           0.0041196,          0.00083012,            0.008911,            0.008911,            0.008911
                  57,            0.027955,            0.010923,            0.003085,             0.98312,             0.98763,             0.99411,             0.81445,            0.018404,           0.0039044,          0.00070954,           0.0088912,           0.0088912,           0.0088912
                  58,            0.026853,           0.0099335,           0.0020088,             0.98818,             0.97826,             0.99422,             0.78594,             0.02149,           0.0040114,            0.000639,           0.0088714,           0.0088714,           0.0088714
                  59,            0.027609,            0.011418,           0.0019216,             0.98666,             0.99065,             0.99449,             0.79139,            0.021653,           0.0040147,          0.00065122,           0.0088516,           0.0088516,           0.0088516
                  60,            0.026614,            0.010467,           0.0021817,             0.98593,             0.98167,             0.99458,             0.78157,            0.021083,           0.0041088,          0.00064971,           0.0088318,           0.0088318,           0.0088318
                  61,            0.028245,             0.01156,           0.0016946,             0.98659,             0.99065,             0.99455,             0.76187,            0.020581,           0.0040778,          0.00078564,            0.008812,            0.008812,            0.008812
                  62,            0.026478,            0.010845,           0.0022252,             0.97366,             0.98836,             0.99325,             0.81773,            0.019103,           0.0038415,           0.0008756,           0.0087922,           0.0087922,           0.0087922
                  63,             0.02583,            0.011065,           0.0019006,              0.9769,             0.98664,             0.99437,             0.76515,            0.019126,           0.0038703,          0.00090345,           0.0087724,           0.0087724,           0.0087724
                  64,            0.025904,            0.011663,           0.0020978,             0.99415,             0.98862,             0.99477,             0.80663,            0.019904,            0.003835,          0.00079194,           0.0087526,           0.0087526,           0.0087526
                  65,            0.026696,            0.010516,           0.0022515,             0.99422,             0.99331,             0.99491,             0.81003,            0.018967,           0.0037564,          0.00067539,           0.0087328,           0.0087328,           0.0087328
                  66,            0.024593,            0.010471,           0.0014734,             0.96011,             0.98571,              0.9778,             0.78893,            0.023769,           0.0040201,          0.00059714,            0.008713,            0.008713,            0.008713
                  67,            0.027942,             0.01158,           0.0018332,             0.99459,             0.98131,             0.99449,             0.79639,            0.020043,           0.0039005,          0.00059839,           0.0086932,           0.0086932,           0.0086932
                  68,            0.026494,             0.01106,           0.0018664,             0.97648,                   1,             0.99426,             0.80285,            0.020296,           0.0039244,          0.00064193,           0.0086734,           0.0086734,           0.0086734
                  69,             0.02581,            0.010618,           0.0017528,             0.99075,             0.98598,             0.99472,             0.79806,            0.020215,            0.003804,          0.00067056,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02562,            0.011034,           0.0016565,             0.97493,             0.97664,             0.99308,             0.82085,            0.018853,           0.0037709,          0.00071191,           0.0086338,           0.0086338,           0.0086338
                  71,            0.026174,            0.010268,           0.0014986,              0.9891,             0.98919,              0.9944,             0.77095,            0.021066,           0.0038262,          0.00080799,            0.008614,            0.008614,            0.008614
                  72,            0.026598,            0.010682,           0.0019209,             0.98235,             0.99533,             0.99458,             0.81383,            0.018194,            0.003639,          0.00075906,           0.0085942,           0.0085942,           0.0085942
                  73,            0.026472,            0.010487,           0.0015252,             0.98684,                   1,             0.99491,             0.79428,            0.019536,           0.0037627,          0.00066533,           0.0085744,           0.0085744,           0.0085744
                  74,            0.025611,            0.010408,           0.0015249,             0.99121,             0.99729,             0.99486,             0.81386,            0.019577,           0.0037171,          0.00059782,           0.0085546,           0.0085546,           0.0085546
                  75,            0.027436,              0.0101,           0.0015672,             0.98322,             0.99907,             0.99491,             0.81951,            0.019905,           0.0038316,          0.00057947,           0.0085348,           0.0085348,           0.0085348
                  76,            0.026548,           0.0097212,            0.001521,             0.99235,             0.99065,             0.99486,             0.81623,            0.019617,           0.0037113,          0.00062342,            0.008515,            0.008515,            0.008515
                  77,            0.024572,            0.010474,           0.0015932,              0.9751,             0.99065,             0.99444,             0.79767,            0.020401,            0.003729,          0.00063979,           0.0084952,           0.0084952,           0.0084952
                  78,            0.025668,            0.010807,           0.0013592,             0.98383,             0.99772,             0.99482,             0.80626,            0.018998,           0.0037184,          0.00070521,           0.0084754,           0.0084754,           0.0084754
                  79,            0.025554,            0.010571,           0.0012331,             0.98328,             0.99699,             0.99487,             0.82868,            0.019172,           0.0038261,          0.00085035,           0.0084556,           0.0084556,           0.0084556
                  80,            0.024285,           0.0098773,           0.0024563,             0.99079,             0.99065,             0.99491,             0.82471,            0.017077,           0.0036464,          0.00084343,           0.0084358,           0.0084358,           0.0084358
